"Variable_Name","Code_Display","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","MinVal","MaxVal","var_uid"
"soil_profile_methods","METHODS","METHODS",1,,"Description of methods used to obtain profile data","text","memo","SOILS","SOIL_METADATA","GENERAL",,4001,,,,,,,487
"soil_notes","SL_NOTES","SL_NOTES",2,,"Additional, detailed information that describes a soil dataset","text","memo","SOILS","SOIL_METADATA","GENERAL",,4001,,".",,,,,488
"distrib_restrictions","SL_DISTRIB","SL_DISTRIB",3,,"Distribution limitations for the soils data set","text","memo","SOILS","SOIL_METADATA","GENERAL",,4001,"2013-02-14, CHP",".",,,,,489
"file_version_sl","VERSION_SL","VERSION_SL",4,,"File version for ICASA standard","text","text","SOILS","SOIL_METADATA","GENERAL",,4001,"2013-04-18, CHP",".",,,,,490
"revision_date_first_sl","REV_DATE_FIRST_SL","REV_DATE_FIRST_SL",5,,"Date the file was first created","date","single","SOILS","SOIL_METADATA","GENERAL",,4001,"2013-04-18, CHP",".",,,,,491
"revision_date_latest_sl","REV_DATE_LATEST_SL","REV_DATE_LATEST_SL",6,,"Date the file was last modified","date","single","SOILS","SOIL_METADATA","GENERAL",,4001,"2013-04-18, CHP",".",,,,,492
"revision_notes_sl","REVISION_NOTES_SL","REVISION_NOTES_SL",7,,"Additional information describing reasons for the revision","text","memo","SOILS","SOIL_METADATA","GENERAL",,4001,"2013-04-18, CHP",".",,,,,493
"soil_citation","SL_CITATION","SL_CITATION",8,,"Full citation for soil data","text","text","SOILS","SOIL_METADATA","GENERAL",,4001,,,,,,,494
"soil_license","SL_LICENSE","SL_LICENSE",9,,"License associated with soil data","text","text","SOILS","SOIL_METADATA","GENERAL",,4001,,,,,,,495
"person_level","PP","PP",1,1,"Unique identifier for a single person","number","single","SOILS","SOIL_METADATA","PERSONS",,4011,,,,,,,496
"researcher_last_name","LAST_NAME","LAST_NAME",2,,"Last name of researchers involved with the experiment(s) or data","text","text","SOILS","SOIL_METADATA","PERSONS",,4011,,".",,,,,497
"researcher_first_name","FIRST_NAME","FIRST_NAME",3,,"First name of researchers involved with the experiment(s) or data","text","text","SOILS","SOIL_METADATA","PERSONS",,4011,,,,,,,498
"researcher_name_mi","MID_INITIAL","MID_INITIAL",4,,"Middle initial of researchers involved with the experiment(s) or data","text","text","SOILS","SOIL_METADATA","PERSONS",,4011,,,,,,,499
"researcher_role","PP_ROLE","PP_ROLE",5,,"Role of researcher in experiment or dataset preparation","code","text","SOILS","SOIL_METADATA","PERSONS",,4011,,,,,,,500
"researcher_address","SL_ADDRESS","SL_ADDRESS",4,,"Mailing address of researcher","text","text","SOILS","SOIL_METADATA","PERSONS",,4011,"2014-03-14, chp",,,,,,501
"institute_id_person","INP","INP",6,,"Links to institutions for person providing soil data","number","single","SOILS","SOIL_METADATA","PERSONS",,4011,,,,,,,502
"e_mail_address","SL_EMAIL","SL_EMAIL",7,,"E-mail address of researcher","text","text","SOILS","SOIL_METADATA","PERSONS",,4011,,,,,,,503
"institute_id","IN","IN",1,1,"Unique identifier for a single institution","number","single","SOILS","SOIL_METADATA","INSTITUTIONS",,4021,,,,,,,504
"institute_name","INST_NAME","INST_NAME",2,,"Names of participating institute","text","text","SOILS","SOIL_METADATA","INSTITUTIONS",,4021,,,,,,,505
"institute_type","IN_TYPE","IN_TYPE",3,,"Type of participating institutions","code","single","SOILS","SOIL_METADATA","INSTITUTIONS",,4021,,,,,,,506
"institute_role","IN_ROLE","IN_ROLE",4,,"Role of participating institutions","code","single","SOILS","SOIL_METADATA","INSTITUTIONS",,4021,,,,,,,507
"document_id_sl","DOC_ID_SL","DOC_ID_SL",1,1,"Unique identifier for a single document","number","single","SOILS","SOIL_METADATA","DOCUMENTS",,4031,"2013-04-18, CHP",,,,,,508
"document_name_sl","DOCUMENT_SL","DOCUMENT_SL",2,,"Document name in abbreviated form","text","memo","SOILS","SOIL_METADATA","DOCUMENTS",,4031,"2013-04-18, CHP",,,,,,509
"digital_object_id_sl","DIGITAL_OBJ_ID_SL","DIGITAL_OBJ_ID_SL",3,,"Digital_object_identifier according to international standard","text","memo","SOILS","SOIL_METADATA","DOCUMENTS",,4031,"2013-04-18, CHP",,,,,,510
"soil_profile_id","SOIL_ID","SOIL_ID",1,,"Soil profile unique identifier, links to FIELDS and LAYERS","text","text","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,"SOIL_ID","SOIL META",5001,,,511
"soil_file_id","SOIL_FILE_ID","SOIL_FILE_ID",2,,"Soil profile file name","text","text","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,,,,,,512
"name_of_soil_profile","SOIL_NAME","SOIL_NAME",3,,"Name of soil profile, usually the soil series name or equivalent. Use soil_site for specific profile locations.","text","text","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,"SOIL_NAME","SOIL META",5005,,,513
"soil_site","SOIL_SITE","SOIL_SITE",4,,"Name of site where soil profile data sampled","text","text","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,"2014-03-17, chp","SITE","SOIL META",5011,,,514
"soil_location_country","SL_LOC_1","SL_LOC_1",5,,"First admin for location of site for soil profile (usually country)","text","text","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,"COUNTRY","SOIL META",5012,,,515
"soil_loc_2nd_level","SL_LOC_2","SL_LOC_2",6,,"Second admin level for location of site for soil profile (usually state or province)","text","text","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,".",,,,,516
"soil_loc_3rd_level","SL_LOC_3","SL_LOC_3",7,,"Third admin level for location of site for soil profile (usually county or municipality)","text","text","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,".",,,,,517
"latitude_soil_profile","SOIL_LAT","SOIL_LAT",8,,"Latitude of soil profile site","decimal_degrees","single","SOIL","SOIL_PROFILES","PROFILE_METADATA",,4041,,"LAT","SOIL META",5013,-80,80,518
